id,play_id,description,time,player_id,team,x,y
1304,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Demar Dotson,home,90.34,24.69
1739,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Ryan Jensen,home,90,23.53
2179,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Mike Evans,home,91.85,24.1
2613,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Alexander Marpet,home,90.12,22.65
3048,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Donovan Smith,home,90.65,22.49
3482,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Caleb Benenoch,home,89.66,24.36
3916,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Kenneth Barber,home,90.85,25.27
4355,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,William Cross,home,92.39,23.44
4790,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,O'Terrius Howard,home,92.11,24.43
5228,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Malcolm Jenkins,away,80.38,27.08
5662,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Brandon Graham,away,83.96,26.11
6096,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Etuini Ngata,away,83.35,24.48
6531,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Nigel Bradham,away,82.92,23.67
6975,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Fletcher Cox,away,83.53,25.72
7409,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Rodney McLeod,away,81.54,25
7845,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Jordan Hicks,away,84.11,25.28
8280,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Ronald Darby,away,81.02,24
8723,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Jalen Mills,away,79.28,38.83
9158,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Caelan Kamuela Grugier-Hill,away,82.09,23.98
9595,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.4,Derek Barnett,away,83.92,23.71
431,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,ball,ball,85.27,23.99
436,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,DeSean Jackson,home,92.3,22.77
870,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Ryan Fitzpatrick,home,91.58,22.76
1305,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Demar Dotson,home,90.33,24.66
1740,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Ryan Jensen,home,89.99,23.53
2180,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Mike Evans,home,91.89,24.11
2614,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Alexander Marpet,home,90.08,22.65
3049,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Donovan Smith,home,90.67,22.5
3483,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Caleb Benenoch,home,89.67,24.35
3917,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Kenneth Barber,home,90.84,25.24
4356,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,William Cross,home,92.42,23.44
4791,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,O'Terrius Howard,home,92.11,24.42
5229,6d6caa3c-8da3-4845-95d5-485b9aecdfdd.json,"(15:00) R.Fitzpatrick pass deep middle to D.Jackson for 75 yards, TOUCHDOWN.",02:49.5,Malcolm Jenkins,away,80.3,27.13
